image_id,file_name,local_filename,location,site_id,date_captured,seq_id,species_label,latitude,longitude,habitat_type,local_image_path
S1/D02/D02_R1/S1_D02_R1_PICT1577,S1/D02/D02_R1/S1_D02_R1_PICT1577.JPG,s1_d02_d02_r1_s1_d02_r1_pict1577.jpg,D02,D02,,SER_S1#D02#1#525,wildebeest,-2.3333,34.8333,unknown,images\s1_d02_d02_r1_s1_d02_r1_pict1577.jpg
S1/R10/R10_R1/S1_R10_R1_PICT1445,S1/R10/R10_R1/S1_R10_R1_PICT1445.JPG,s1_r10_r10_r1_s1_r10_r1_pict1445.jpg,R10,R10,,SER_S1#R10#1#483,wildebeest,-2.3333,34.8333,unknown,images\s1_r10_r10_r1_s1_r10_r1_pict1445.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1571,S1/E06/E06_R4/S1_E06_R4_PICT1571.JPG,s1_e06_e06_r4_s1_e06_r4_pict1571.jpg,E06,E06,,SER_S1#E06#4#525,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1571.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1563,S1/E06/E06_R4/S1_E06_R4_PICT1563.JPG,s1_e06_e06_r4_s1_e06_r4_pict1563.jpg,E06,E06,,SER_S1#E06#4#522,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1563.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1725,S1/E06/E06_R4/S1_E06_R4_PICT1725.JPG,s1_e06_e06_r4_s1_e06_r4_pict1725.jpg,E06,E06,,SER_S1#E06#4#576,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1725.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1560,S1/E06/E06_R4/S1_E06_R4_PICT1560.JPG,s1_e06_e06_r4_s1_e06_r4_pict1560.jpg,E06,E06,,SER_S1#E06#4#521,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1560.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1575,S1/E06/E06_R4/S1_E06_R4_PICT1575.JPG,s1_e06_e06_r4_s1_e06_r4_pict1575.jpg,E06,E06,,SER_S1#E06#4#526,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1575.jpg
S1/H02/H02_R2/S1_H02_R2_PICT0762,S1/H02/H02_R2/S1_H02_R2_PICT0762.JPG,s1_h02_h02_r2_s1_h02_r2_pict0762.jpg,H02,H02,,SER_S1#H02#2#254,wildebeest,-2.3333,34.8333,unknown,images\s1_h02_h02_r2_s1_h02_r2_pict0762.jpg
S1/H02/H02_R2/S1_H02_R2_PICT0689,S1/H02/H02_R2/S1_H02_R2_PICT0689.JPG,s1_h02_h02_r2_s1_h02_r2_pict0689.jpg,H02,H02,,SER_S1#H02#2#230,wildebeest,-2.3333,34.8333,unknown,images\s1_h02_h02_r2_s1_h02_r2_pict0689.jpg
S1/H02/H02_R2/S1_H02_R2_PICT1018,S1/H02/H02_R2/S1_H02_R2_PICT1018.JPG,s1_h02_h02_r2_s1_h02_r2_pict1018.jpg,H02,H02,,SER_S1#H02#2#340,wildebeest,-2.3333,34.8333,unknown,images\s1_h02_h02_r2_s1_h02_r2_pict1018.jpg
S1/H02/H02_R2/S1_H02_R2_PICT0623,S1/H02/H02_R2/S1_H02_R2_PICT0623.JPG,s1_h02_h02_r2_s1_h02_r2_pict0623.jpg,H02,H02,,SER_S1#H02#2#208,wildebeest,-2.3333,34.8333,unknown,images\s1_h02_h02_r2_s1_h02_r2_pict0623.jpg
S1/E06/E06_R4/S1_E06_R4_PICT1787,S1/E06/E06_R4/S1_E06_R4_PICT1787.JPG,s1_e06_e06_r4_s1_e06_r4_pict1787.jpg,E06,E06,,SER_S1#E06#4#597,wildebeest,-2.3062,34.9027,kopje,images\s1_e06_e06_r4_s1_e06_r4_pict1787.jpg
